"Summons Number","Plate ID","Registration State","Plate Type","Issue Date","Violation Code","Vehicle Body Type","Vehicle Make","Issuing Agency","Street Code1","Street Code2","Street Code3","Vehicle Expiration Date","Violation Location","Violation Precinct","Issuer Precinct","Issuer Code","Issuer Command","Issuer Squad","Violation Time","Time First Observed","Violation County","Violation In Front Of Or Opposite","House Number","Street Name","Intersecting Street","Date First Observed","Law Section","Sub Division","Violation Legal Code","Days Parking In Effect    ","From Hours In Effect","To Hours In Effect","Vehicle Color","Unregistered Vehicle?","Vehicle Year","Meter Number","Feet From Curb","Violation Post Code","Violation Description","No Standing or Stopping Violation","Hydrant Violation","Double Parking Violation","Fiscal Year"
"1494563459","KXP7798","99","PAS",,"19","SUBN","HONDA","P","0","40404","40404","20260828",,"0","102","965656","102","0","1009A",,"Q","F","75-14","JAM AVE",,"0","408","D",,"BBBBBBB","ALL","ALL","WH","0","2005","-","0",,,,,,"2026"
"1498956245","63306NF","NY","COM",,"78","TC","FORD","P","59530","85730","85330","20261030","79","79","79","974895","79","0","1059P",,"K","F","100","MAC DONOUGH ST",,"0","408","F1",,"BBBBBBB","ALL","ALL","WHITE","0","2006","-","0",,,,,,"2026"
"1499422957","L6X8088","NY","PAS",,"46","SUBN","JEEP","P","36490","11710","13610","20260225","30","30","30","980095","30","0","0928P",,,,"518","W 136",,"0","408","E2",,"BBBBBBB","ALL","ALL","RD","0","2021","-","0",,,,,,"2026"
"1500520755","LWH2362","NY","PAS",,"46","SDN","TOYOT","P","25800","78150","15820","20250309","40","40","40","980684","40","0","0109A","0109A",,"F","415","EAST 138 ST",,"0","408","F2",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1498973541","LRM3121","NY","PAS",,"98","SDN","MAZDA","P","7890","6090","6740","20260119","114","114","114","970167","114","0","0400A",,"Q","F","14-28","30 RD",,"0","408","J2",,"BBBBBBB","ALL","ALL","BLK","0","2013","-","0",,,,,,"2026"
"1500384045","LTV5344","NY","PAS",,"40",,"ACURA","P","0","40404","40404","88888888","104","104","104","977717","104","0","0004A",,"Q","I","6552","16 PLACE",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHITE","0","2022","-","0",,,,,,"2026"
"1498747607","RHY2454","NC","PAS",,"46","SUBN","DODGE","P","36090","10610","10810","0","28","28","28","969475","28","0","0402P",,"NY","F","239","W 116 ST",,"0","408","C",,"BBBBBBB","ALL","ALL","BK","0","0","-","0",,,,,,"2026"
"1501012976","C211868","CT","COM",,"98","VAN","FORD","P","16630","10880","19030","0","62","62","62","975202","62","0","1145P",,"K","F","28","BAY 26",,"0","408","F2",,"BBBBBBB","ALL","ALL","WH","0","0","-","0",,,,,,"2026"
"1501022623","21718ML","NY","COM",,"78","VAN","FORD","P","90880","14330","14380","20260131","62","62","62","974767","62","0","1230A",,"K","F","1544","WEST 8 STREET",,"0","408","E2",,"BBBBBBB","ALL","ALL","WH","0","2018","-","0",,,,,,"2026"
"1498141110","OPW37","PA","PAS",,"98",,"HONDA","P","36580","26630","55330","0","67","67","67","978229","67","0","0935P",,"K","F","78","E 39 ST",,"0","408","K6",,"BBBBBBB","ALL","ALL","GRY","0","0","-","0",,,,,,"2026"
"1495819565","405JYB","MA","PAS",,"14",,"NISSA","P","20670","81830","0","0","60","60","60","975995","60","0","0747P",,,"F",,"BOWERY","STILLWELL AVE","0","408","E2",,"BBBBBBB","ALL","ALL","BLK","0","2013","-","0",,,,,,"2026"
"1500426969","C18PEX","NJ","PAS",,"45","SDN","FORD","P","11010","37670","37690","88888888","34","34","34","979393","34","0","0827P",,"NY","F","3869","10 AVE",,"0","408","J2",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1495808981","LPW6606","NY","PAS",,"98","SDN","CHRYS","P","37330","55330","56230","20261023","67","67","67","977307","67","0","1039A",,,"F","62","EAST 57 ST",,"0","408","F2",,"BBBBBBB","ALL","ALL","GREY","0","2006","-","0",,,,,,"2026"
"1499890941","C057478","CT","COM",,"78","VAN","CHEVR","P","67460","22390","65145","0","116","116","116","973948","116","0","0934P","0930P","Q","O","137-78","WESTGATE STREET",,"0","408","K6",,"BBBBBBB","ALL","ALL","WHI","0","2004","-","0",,,,,,"2026"
"1500276479","LDF2537","NY","PAS",,"21","SUBN","JEEP","P","80430","87330","86330","20250831","77","77","77","973223","77","0","0900A",,"K","F","238","SAINT MARKS AVE",,"0","408","E2",,"YYYYYBB","0200A","0400P",,"0","0","-","0",,,,,,"2026"
"1499997980","LKK8614","NY","PAS",,"98","SUBN","CHEVR","P","79730","69230","63030","0","79","79","79","975124","79","0","1120A","1120A",,"F","89","SPENCER STREET",,"0","408","F2",,"BBBBBBB","ALL","ALL","BLACK","0","0","-","0",,,,,,"2026"
"1500316660","JMY4360","99","PAS",,"40","SDN",,"P","5680","8580","8630","0",,"0","72","968523","72","0",,,,,"4015","6 AVE",,"0","408","D",,"BBBBBBB","ALL","ALL","GRAY","0","1999","-","0",,,,,,"2026"
"1500863312","B75YZE","NJ","PAS",,"98","SUBN","ACURA","P","10330","28230","73330","20250931","68","68","68","963042","68","0","0119P",,"K","F","143","BAYRIDGE PARKWAY",,"0","408","E2",,"BBBBBBB","ALL","ALL","BLCK","0","0","-","0",,,,,,"2026"
"1501256117","BLANKPLATE","99","999",,"98","SDN","HONDA","P","56230","39300","12400","20250522","75","75","75","976202","O075","0","0903A",,"K","F","2858","LINDEN BLVD",,"0","408","E3",,"BBBBBBB","ALL","ALL","GREY","0","2009","-","0",,,,,,"2026"
"1499790193","V65VPC","NJ","PAS",,"21","SUBN","ACURA","P","19040","8590","8790","0","115","115","115","976359","115","0","0255P","0255P","Q","F","35-46","97 ST",,"20,250,622","408","F2",,"BBBBBBB","ALL","ALL","WHITE","0","0","-","0",,,,,,"2026"
"1500140284","UW76MK","NJ","PAS",,"21",,"FORD","P","90880","64230","76330","0","60","60","60","971362","60","0","0710A",,"K",,"2801","WEST 8 STREET",,"0","408","D",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1500027911","8DL692","MA","PAS",,"14","SDN","HONDA","P","90330","23230","23930","0","83","83","83","974175","83","0","0137P",,"K","F","14","WEIRFIELD ST",,"0","408","C",,"BBBBBBB","ALL","ALL","GRY","0","2014","-","0",,,,,,"2026"
"1498752895","L3YVRG","NJ","PAS",,"51","SDN","CHRYS","P","36370","15910","11710","20260131","26","26","26","975221","26","0","0635P",,,"F","488","WEST 130 STREET",,"0","408","J2",,"BBBBBBB","ALL","ALL","GRAY","0","2014","-","0",,,,,,"2026"
"1500384124","LPJ7087","NY","PAS",,"40","SDN","ME/BE","P","13640","56490","39690","20260725","104","104","104","977717","104","0","0118A",,"Q","F","72-29","65 PLACE",,"0","408","E2",,"BBBBBBB","ALL","ALL","GRY","0","2014","-","0",,,,,,"2026"
"1500384100","HTL8862","NY","PAS",,"40","SDN","HONDA","P","15640","38290","12440","20250817","104","104","104","977717","104","0","0555A",,"Q","F","59-07","74 ST",,"0","408","N2",,"BBBBBBB","ALL","ALL","GRN","0","1995","-","0",,,,,,"2026"
"1493846401","BLANKPLATE","99","999",,"40","DELV","AUDI","P","69120","53520","47520","88888888","49","49","49","969158","49","0","0904A",,,"F","2021","TOMLINSON AVE",,"0","408","E3",,"BBBBBBB","ALL","ALL","SILVE","0","0","-","0",,,,,,"2026"
"1498776668","RVYG12","99","PAS",,"46","SDN","TESLA","P","36690","11710","13610","88888888","30","30","30","977551","30","0","1022P",,,"F","521","W 146 ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","BLUE","0","0","-","0",,,,,,"2026"
"1500492085","KBW9439","NY","PAS",,"62","SDN","HONDA","P","22320","27150","27270","20260331","48","48","48","980852","48","0","0918P",,"BX","O","2290","CROTONA AVE",,"0","408","E3",,"BBBBBBB","ALL","ALL","GREY","0","2022","-","0",,,,,,"2026"
"1495898623","HIMADRI","NY","OMT",,"46","SDN","TESLA","P","10210","17550","17570","20251031","13","13","13","973918","13","0","0244A","0244A",,"F","395","3RD AVE",,"0","408","C",,"BBBBBBB","ALL","ALL","WT","0","2023","-","0",,,,,,"2026"
"1492552185","JZU4944","OH","PAS",,"98",,,"P","13240","19190","19540","20251020",,"0","112","971308","112","0","1124P","1124P",,,"99-20","64 AVE",,"20,250,611","408","D",,"BBBBBBB","ALL","ALL",,"0","0","-","0",,,,,,"2026"
"1493856297","BLANKPLATE","99","999",,"40","SUBN","FORD","P","34020","73420","35720","88888888","43","43","43","978500","43","0","0050A",,"BX","F","1149","FTELEY AVENUE",,"0","408","E2",,"BBBBBBB","ALL","ALL","WHTE","0","2015","-","0",,,,,,"2026"
"1501239338","LWD2165","NY","PAS",,"46","SUBN","JEEP","P","61730","85730","85330","20270515","79","79","79","980977","79","0","0623P","0619P","K","F","366A","MONROE ST",,"0","408","E2",,"BBBBBBB","ALL","ALL","BLU","0","2023","-","0",,,,,,"2026"
"1493945919","M12PCV","NJ","PAS",,"98","SUBN","NISSA","P","19700","34886","55100","20240220","121","121","121","971599","121","0","0851A",,,"F","215","BRADLEY AVE",,"0","408","D",,"BBBBBBB","ALL","ALL","GRAY","0","0","-","0",,,,,,"2026"
"1500541977","LVS2612","99","PAS",,"98","SDN","VOLKS","P","41350","40340","13820","20270418","47","47","47","972438","47","0","1045A",,"BX","F","3552","HUGUENOT AVE",,"0","408","F2",,"BBBBBBB","ALL","ALL","WHITE","0","2014","-","0",,,,,,"2026"
"1500960019","359461T","NJ","PAS",,"74","SDN","JEEP","P","26730","56820","73120","0","42","42","42","980954","42","0","1111P",,"BX","F","460","E 169 ST",,"0","408","F1",,"BBBBBBB","ALL","ALL","GRY","0","2014","-","0",,,,,,"2026"
"1495944529","EREN","NY","PAS",,"67","SDN",,"P","10540","11380","10910","20250119","108","108","108","977422","108","0","0119P",,"Q","F","5138","47 ST",,"0","408","C",,"BBBBBBB","ALL","ALL","BLK","0","2020","-","0",,,,,,"2026"
